date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:18:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2031%20Oct%202020%2020:18:26%20GMT	https://amongus.city/robots.txt		(from )
09:18:27	7561/7561	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Oct%202020%2022:34:08%20GMT	https://amongus.city/	C:/My%20Web%20Sites/MOD/amongus.city/index.html	(from )
09:18:29	155758/155758	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/bootstrap.min.css	C:/My%20Web%20Sites/MOD/amongus.city/bootstrap.min.css	(from https://amongus.city/)
09:18:29	44609/44609	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/main.css	C:/My%20Web%20Sites/MOD/amongus.city/main.css	(from https://amongus.city/)
09:18:29	10363/10363	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/favicon.png	C:/My%20Web%20Sites/MOD/amongus.city/favicon.png	(from https://amongus.city/)
09:18:30	40537/40537	---M--	200	added ('OK')	image/png	date:Tue,%2027%20Oct%202020%2013:11:08%20GMT	https://amongus.city/logo2.png	C:/My%20Web%20Sites/MOD/amongus.city/logo2.png	(from https://amongus.city/)
09:18:31	5517/5517	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/1.png	C:/My%20Web%20Sites/MOD/amongus.city/1.png	(from https://amongus.city/)
09:18:32	5048/5048	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/2.png	C:/My%20Web%20Sites/MOD/amongus.city/2.png	(from https://amongus.city/)
09:18:33	5043/5043	---M--	200	added ('OK')	image/png	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/3.png	C:/My%20Web%20Sites/MOD/amongus.city/3.png	(from https://amongus.city/)
09:18:34	88145/88145	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/jquery-3.4.1.min.js	C:/My%20Web%20Sites/MOD/amongus.city/jquery-3.4.1.min.js	(from https://amongus.city/)
09:18:35	21004/21004	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/popper.min.js	C:/My%20Web%20Sites/MOD/amongus.city/popper.min.js	(from https://amongus.city/)
09:18:36	58072/58072	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/bootstrap.min.js	C:/My%20Web%20Sites/MOD/amongus.city/bootstrap.min.js	(from https://amongus.city/)
09:18:37	72979/72979	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/progressbar.js	C:/My%20Web%20Sites/MOD/amongus.city/progressbar.js	(from https://amongus.city/)
09:18:37	1873/1873	---M--	200	added ('OK')	application/javascript	date:Tue,%2027%20Oct%202020%2012:52:04%20GMT	https://amongus.city/main.js	C:/My%20Web%20Sites/MOD/amongus.city/main.js	(from https://amongus.city/)
09:18:38	49032/49032	---M--	200	added ('OK')	font/ttf	date:Sat,%2024%20Oct%202020%2021:30:02%20GMT	https://amongus.city/font1.ttf	C:/My%20Web%20Sites/MOD/amongus.city/font1.ttf	(from https://amongus.city/main.css)
